vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,region,source,varietal,wine_id,Region
2011,91,$40,Cabernet Franc Rogue Valley,Griffin Creek,"Soft, ripe, generous and precise, this open-textured example of Cabernet Franc offers lovely red plum and cherry fruit, with just enough herb and funk overtones to add interest. Elegant. Drink now through 2018. 742 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379875/name/griffin-creek-cabernet-franc-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Cabernet Franc,379875,
2011,86,$40,Arsenal Rogue Valley,Quady North,"A snappy red, if modest in scale, with blackberry and grilled herb flavors. Cabernet Franc and Merlot. Drink now through 2018. 203 cases made.","Magazine Issue Feb 02, 2017",https://www.winespectator.com/wine/wine-detail/id/429948/name/quady-north-arsenal-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Cabernet Franc,429948,
2011,90,$28,Cabernet Sauvignon Rogue Valley,Del Rio,"A vibrant, medium-weight red, with ripe plum and currant fruit, shaded with hints of apricot and spice. This comes together seamlessly on the refined finish. Drink now through 2020. 750 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/357733/name/del-rio-cabernet-sauvignon-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Cabernet Sauvignon & Blends,357733,
2011,86,$40,Cabernet Sauvignon Rogue Valley,Griffin Creek,"Lean, spicy and firmly tannic, offering billowing red pepper, red berry and wet earth flavors that persist into a lively finish. Drink now through 2018. 458 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379943/name/griffin-creek-cabernet-sauvignon-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Cabernet Sauvignon & Blends,379943,
2011,94,$125,Chardonnay Dundee Hills Récolte Grand Cru,Domaine Serene,"Tangy, with vibrant acidity and expressive, ripe and citrusy flavors. Offers a distinctive profile of star fruit and quince, homing in on pineapple and mineral notes as the taut finish lingers. Drink now through 2020. 150 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/380170/name/domaine-serene-chardonnay-dundee-hills-r%C3%A9colte-grand-cru-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,380170,
2011,94,$65,Chardonnay Eola-Amity Hills Seven Springs Vineyard La Source,Evening Land,"Vibrant, expressive, focused and concentrated, dancing lightly with an array of toast- and mineral-accented peach, pear, lime and orange blossom flavors, lingering enticingly against refined acidity. Best from 2015 through 2019. 438 cases made.","Magazine Issue Nov 30, 2013",https://www.winespectator.com/wine/wine-detail/id/355507/name/evening-land-chardonnay-eola-amity-hills-seven-springs-vineyard-la-source-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Chardonnay,355507,
2011,93,$80,Chardonnay Willamette Valley Sigrid,Bergström,"Lively, vibrant, silky and focused, this is an elegant wine that delivers a bright beam of apple, pear, cream and pecan flavors on a frame punctuated by lively citrus notes. Drink now through 2017. 490 cases made.","Magazine Issue Oct 31, 2013",https://www.winespectator.com/wine/wine-detail/id/351701/name/bergstr%C3%B6m-chardonnay-willamette-valley-sigrid-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,351701,
2011,93,$65,Chardonnay Dundee Hills Édition Limitée,Domaine Drouhin,"Polished, ripe and deft, playing the refreshing pear, quince and spice flavors against gentle acidity, lingering into an expressive finish. Shows integrity, balance and intensity. Drink now through 2018. 111 cases made.","Magazine Issue Nov 30, 2013",https://www.winespectator.com/wine/wine-detail/id/355502/name/domaine-drouhin-chardonnay-dundee-hills-%C3%89dition-limit%C3%A9e-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,355502,
2011,93,$55,Chardonnay Dundee Hills Evenstad Reserve,Domaine Serene,"Sleek, silky and beautifully focused, with hints of lime blossom and clove accenting the pear and apple flavors, coming together on the graceful finish. Has intensity without weight, lingering appealingly. Drink now through 2016. 1,200 cases made.","Magazine Issue Nov 30, 2013",https://www.winespectator.com/wine/wine-detail/id/355503/name/domaine-serene-chardonnay-dundee-hills-evenstad-reserve-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,355503,
2011,92,$45,Chardonnay Dundee Hills,Ayoub,"An almond undertone runs through this open-textured, focused and appealing Chardonnay, with flavors centering on green apple, quince and gentle spices, lingering easily on the graceful finish. Drink now through 2019. 119 cases made.","Magazine Issue Nov 30, 2013",https://www.winespectator.com/wine/wine-detail/id/355499/name/ayoub-chardonnay-dundee-hills-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,355499,
2011,92,$40,Chardonnay Eola-Amity Hills Seven Springs Vineyard,Evening Land,"Light, tangy and juicy, with pear and lemon curd flavors, coming together intensely and harmoniously on the finish. Drink now through 2018. 348 cases made.","Magazine Issue Nov 30, 2013",https://www.winespectator.com/wine/wine-detail/id/355506/name/evening-land-chardonnay-eola-amity-hills-seven-springs-vineyard-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Chardonnay,355506,
