vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,Region,source
2019,96,$65,Pinot Noir Yamhill-Carlton Résonance Vineyard,Résonance,"Impressive and compelling, this Pinot epitomizes the best of Willamette Valley. Impeccably structured, this combines depth and grace with expressive raspberry, fresh violet and crushed stone accents that take on polish and richness on the lingering, savory finish. Drink now through 2032. 1,211 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288304/name/r%C3%A9sonance-pinot-noir-yamhill-carlton-r%C3%A9sonance-vineyard-2019,"['Oregon', 'Willamette Valley', 'Yamhill-Carlton']",Wine Spectator
2019,95,$80,Pinot Noir Chehalem Mountains Silice,Bergström,"Polished, rich and luscious, offering vibrant black raspberry, baking spice and savory anise flavors. A knockout of a Pinot. Drink now through 2030. 611 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1281834/name/bergstr%C3%B6m-pinot-noir-chehalem-mountains-silice-2019,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator
2019,95,$80,Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard,Bergström,"A lovely red, refined and generous, with vibrant black cherry flavors accented by wildflower, orange peel and dusky spice, building structure toward refined tannins. Drink now through 2030. 686 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1281837/name/bergstr%C3%B6m-pinot-noir-ribbon-ridge-le-pr%C3%A9-du-col-vineyard-2019,"['Oregon', 'Willamette Valley', 'Ribbon Ridge']",Wine Spectator
2019,95,$35,Pinot Noir Eola-Amity Hills,Drouhin Oregon Roserock,"This version is defined by a beam of vibrant acidity and tannins framed by refined blueberry and cherry flavors, accented by stony minerality and dusky spiced tea. Drink now through 2031. 6,745 cases made.","Magazine Issue Feb 28, 2022",https://www.winespectator.com/wine/wine-detail/id/1282987/name/drouhin-oregon-roserock-pinot-noir-eola-amity-hills-2019,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
2019,95,$100,Chardonnay Eola-Amity Hills Summum Seven Springs Estate,Evening Land,"Shows dimension and presence, with elegantly multilayered flavors of Meyer lemon, apple skin, yeasty lees and crushed stone that gather richness and steely opulence on the lingering finish. Drink now through 2023. 327 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1287406/name/evening-land-chardonnay-eola-amity-hills-summum-seven-springs-estate-2019,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
2019,95,$75,Pinot Noir Eola-Amity Hills La Source Seven Springs Estate,Evening Land,"A wine of precision and dimension, this is buoyed by a vibrant acidic, tannic backbone and framed by bright cherry and forest floor accents, which build richness toward the refined tannins. Drink now through 2031. 545 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1287405/name/evening-land-pinot-noir-eola-amity-hills-la-source-seven-springs-estate-2019,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
2019,95,$75,Pinot Noir Eola-Amity Hills Temperance Hill Vineyard,Lavinea,"A dynamic red that’s refined but distinctive, with expressive raspberry, clove and other dusky and smoky spices. Builds richness on the savory finish. Drink now through 2030. 340 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1286775/name/lavinea-pinot-noir-eola-amity-hills-temperance-hill-vineyard-2019,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
2019,95,$90,Pinot Noir McMinnville Momtazi,Nicolas-Jay,"A wine of dimension and detail, this Pinot is the complete package, offering polished, multilayered flavors of raspberry, blueberry, orange peel and dusky spices that build richness and tension toward refined tannins. Drink now through 2030. 195 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1291050/name/nicolas-jay-pinot-noir-mcminnville-momtazi-2019,"['Oregon', 'Willamette Valley', 'McMinnville']",Wine Spectator
2019,95,$55,Pinot Noir Willamette Valley,Nicolas-Jay,"A lovely wine, supple and harmonious, with multilayered raspberry and cherry flavors that mix with brown baking spices and a hint of mineral as this builds richness and tension toward polished tannins. Drink now through 2030. 495 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1291046/name/nicolas-jay-pinot-noir-willamette-valley-2019,"['Oregon', 'Willamette Valley']",Wine Spectator
2019,95,$75,Pinot Noir Eola-Amity Hills Zena Crown Vineyard,Penner-Ash,"Sinewy structure meets harmony and polish in this red, which offers vibrant raspberry and blueberry flavors that take on accents of violet, crushed stone and dusky spice. Finishes with refined tannins. Drink now through 2031. 485 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1287513/name/penner-ash-pinot-noir-eola-amity-hills-zena-crown-vineyard-2019,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
2019,95,$100,Pinot Noir Ribbon Ridge Amphora,Sequitur,"Impressively detailed and expressive, with raspberry and guava flavors that draw in dusky spice and orange peel accents as this builds richness on the long, polished finish. Drink now through 2030. 46 cases made.","Magazine Issue Oct 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1276972/name/sequitur-pinot-noir-ribbon-ridge-amphora-2019,"['Oregon', 'Willamette Valley', 'Ribbon Ridge']",Wine Spectator
2019,94,$70,Pinot Noir Dundee Hills West Blocks Sedimentary Soils,Alexana,"This red combines structure and polish, offering deep raspberry, zesty cinnamon and other spice notes as this expands and fleshes out on the long finish. Drink now through 2030. 368 cases made.","Magazine Issue Mar 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1283563/name/alexana-pinot-noir-dundee-hills-west-blocks-sedimentary-soils-2019,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator
2019,94,$90,Pinot Noir Dundee Hills Renegade Ridge Vineyard,Archery Summit,"Dynamic and multilayered, with expressive guava and raspberry flavors that draw in orange blossom, cardamom and other savory spice notes. Finishes with refined tannins. Drink now through 2030. 235 cases made.","Magazine Issue Mar 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1286444/name/archery-summit-pinot-noir-dundee-hills-renegade-ridge-vineyard-2019,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator
2019,94,$85,Pinot Noir Eola-Amity Hills Zena Crown,Beaux Frères,"Finesse meets structure, with expressive cherry and blueberry flavors that take on notes of orange peel, stony minerality and dusky spice, building momentum toward polished tannins. Drink now through 2030. 253 cases made.","Magazine Issue Nov 15, 2021",https://www.winespectator.com/wine/wine-detail/id/1276973/name/beaux-fr%C3%A8res-pinot-noir-eola-amity-hills-zena-crown-2019,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator
