vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,region,source,varietal,wine_id
2021,90,$20,Chardonnay Willamette Valley Inox Unoaked,Chehalem,"A dynamic white, with spirited lemon and lime flavors that sail on the crisp, vibrant and steely finish. Drink now. 9,100 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1288804/name/chehalem-chardonnay-willamette-valley-inox-unoaked-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1288804
2021,89,$16,Chardonnay Oregon,A to Z Wineworks,"A delicious quaff, this white is a fruit bomb of tropical fruit, pear and spice, finishing on a supple yet crisp note. Drink now. 50,000 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1288281/name/a-to-z-wineworks-chardonnay-oregon-2021,['Oregon'],Wine Spectator,Chardonnay,1288281
2021,88,$16,Chardonnay Oregon,Acrobat,"Easygoing, with pineapple and peach flavors that finish on a spicy, sweet accent. Drink now. 3,107 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1291089/name/acrobat-chardonnay-oregon-2021,['Oregon'],Wine Spectator,Chardonnay,1291089
2021,90,$22,Pinot Gris Willamette Valley,Elk Cove,"Luscious yet crisp and refreshing, with lively apricot, fresh fig and spice flavors that finish on a polished note. Drink now. 7,711 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288876/name/elk-cove-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1288876
2021,89,$21,Pinot Gris Willamette Valley,The Four Graces,"Fleshy and polished, with supple pear, fresh fig and cinnamon flavors that end on a rich accent. Drink now. 10,656 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1289291/name/the-four-graces-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1289291
2021,89,$18,Pinot Gris Willamette Valley,Willamette Valley Vineyards,"Sleek and delicate yet vibrant, with jasmine flower, pear and lemon flavors that glide on the supple finish. Drink now. 31,000 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1289792/name/willamette-valley-vineyards-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1289792
2021,87,$20,Pinot Gris Willamette Valley,Chehalem,"Delicate and pretty, with green apple and citrus blossom accents. Drink now. 2,980 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288805/name/chehalem-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1288805
2021,86,$16,Pinot Gris Oregon,A to Z Wineworks,"Soft and fruit-forward, with lemon verbena and peach sorbet flavors. Drink now. 85,000 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288282/name/a-to-z-wineworks-pinot-gris-oregon-2021,['Oregon'],Wine Spectator,Pinot Gris,1288282
2021,88,$16,Rosé Oregon,A to Z Wineworks,"Presents pretty violet and strawberry aromas that open to succulent, fruit-forward cherry flavors. Sangiovese, Syrah, Zinfandel, Tempranillo and Malbec. Drink now. 12,500 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288286/name/a-to-z-wineworks-ros%C3%A9-oregon-2021,['Oregon'],Wine Spectator,Rosé Wines,1288286
2021,88,$19,Grenache Rogue Valley Rosé,Del Rio,"A lively blush, with snappy raspberry and peach flavors that finish on a spicy note. Drink now. 1,700 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1289333/name/del-rio-grenache-rogue-valley-ros%C3%A9-2021,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Rosé Wines,1289333
